Advice for Writing Small Programs in C.mp4,160222463,/home/abdelwahed/Bureau/DESKTOP/today19012023/27012023/Advice for Writing Small Programs in C.mp4
“meta-flatpak Flatpak in Yocto, Yocto in Flatpak” by Sam Thursfield.mp4,15935193,/home/abdelwahed/Bureau/DESKTOP/today19012023/27012023/“meta-flatpak Flatpak in Yocto, Yocto in Flatpak” by Sam Thursfield.mp4
Chat GPT Coding - Make A Profitable Trading Strategy In Five Minutes!.mp4,77397429,/home/abdelwahed/Bureau/DESKTOP/today19012023/27012023/Chat GPT Coding - Make A Profitable Trading Strategy In Five Minutes!.mp4
I Built a Trading Bot with ChatGPT.mp4,61414759,/home/abdelwahed/Bureau/DESKTOP/today19012023/27012023/I Built a Trading Bot with ChatGPT.mp4
From Project to Profit Commercial Open Source Software Licensing and Business Models.mp4,50813665,/home/abdelwahed/Bureau/DESKTOP/today19012023/27012023/From Project to Profit Commercial Open Source Software Licensing and Business Models.mp4
Coding Livestream - Creating an Online Chat App w Python!.mp4,386338422,/home/abdelwahed/Bureau/DESKTOP/today19012023/27012023/Coding Livestream - Creating an Online Chat App w Python!.mp4
Data Science Live Coding.mp4,161909852,/home/abdelwahed/Bureau/DESKTOP/today19012023/27012023/Data Science Live Coding.mp4
DEF CON 24 - Hardware Hacking Village - Matt DuHarte - Basic Firmware Extraction.mp4,119153397,/home/abdelwahed/Bureau/DESKTOP/today19012023/27012023/DEF CON 24 - Hardware Hacking Village - Matt DuHarte - Basic Firmware Extraction.mp4
First look - ChatGPT + WolframAlpha (GPT-3.5 and WolframAlpha via LangChain by James Weaver).mp4,46865918,/home/abdelwahed/Bureau/DESKTOP/today19012023/vues/First look - ChatGPT + WolframAlpha (GPT-3.5 and WolframAlpha via LangChain by James Weaver).mp4
ChatGPT Tutorial for Developers - 38 Ways to 10x Your Productivity.mp4,51711855,/home/abdelwahed/Bureau/DESKTOP/today19012023/vues/ChatGPT Tutorial for Developers - 38 Ways to 10x Your Productivity.mp4
Could ChatGPT and other AI Chatbots replace human jobs  DW Business Special.mp4,37002672,/home/abdelwahed/Bureau/DESKTOP/today19012023/vues/Could ChatGPT and other AI Chatbots replace human jobs  DW Business Special.mp4
Why is OpenAIs ChatGPT terrifying A Senior Software Engineer explains a disturbing new hypothesis.mp4,26990753,/home/abdelwahed/Bureau/DESKTOP/today19012023/vues/Why is OpenAIs ChatGPT terrifying A Senior Software Engineer explains a disturbing new hypothesis.mp4
Pointers in C  C++ [Full Course].mp4,295494437,/home/abdelwahed/Bureau/DESKTOP/today19012023/C/Pointers in C  C++ [Full Course].mp4
Live Coding Stream Word Searches in C (Part 1).mp4,351743340,/home/abdelwahed/Bureau/DESKTOP/today19012023/C/Live Coding Stream Word Searches in C (Part 1).mp4
Live Coding Stream Word Searches in C (Part 2).mp4,333033422,/home/abdelwahed/Bureau/DESKTOP/today19012023/C/Live Coding Stream Word Searches in C (Part 2).mp4
How I program C.mp4,170331922,/home/abdelwahed/Bureau/DESKTOP/today19012023/C/How I program C.mp4
